Date,End,Sleep quality,Time in bed
8/27/18,8/28/18,84%,7:06
8/28/18,8/29/18,76%,7:23
8/29/18,8/30/18,88%,8:37
8/30/18,8/31/18,74%,7:28
9/3/18,9/4/18,77%,7:09
9/4/18,9/4/18,12%,0:54
9/4/18,9/5/18,98%,8:31
9/5/18,9/6/18,98%,8:21
9/6/18,9/7/18,78%,7:33
9/9/18,9/10/18,67%,7:36
9/10/18,9/11/18,73%,7:06
9/11/18,9/12/18,73%,7:02
9/12/18,9/13/18,78%,7:32
9/13/18,9/14/18,78%,7:19
9/16/18,9/17/18,77%,7:00
9/17/18,9/18/18,87%,7:49
9/18/18,9/19/18,76%,7:33
9/19/18,9/20/18,71%,7:38
9/20/18,9/21/18,80%,7:52
9/23/18,9/24/18,83%,8:03
9/24/18,9/25/18,90%,7:37
9/25/18,9/26/18,64%,6:17
9/26/18,9/27/18,28%,2:33
9/30/18,10/1/18,63%,6:55
10/1/18,10/2/18,76%,6:42
10/2/18,10/3/18,61%,7:10
10/3/18,10/4/18,83%,7:42
10/4/18,10/5/18,77%,7:26
10/7/18,10/8/18,76%,7:28
10/8/18,10/9/18,70%,7:01
10/9/18,10/10/18,55%,6:25
10/10/18,10/11/18,70%,7:09
10/11/18,10/12/18,71%,7:26
10/15/18,10/16/18,68%,6:53
10/16/18,10/17/18,84%,7:25
10/17/18,10/18/18,69%,7:19
10/18/18,10/19/18,62%,5:49
10/21/18,10/22/18,68%,7:50
10/22/18,10/23/18,72%,7:15
10/23/18,10/24/18,100%,8:33
10/24/18,10/25/18,60%,7:20
10/25/18,10/26/18,89%,9:13
10/28/18,10/29/18,73%,7:25
10/29/18,10/30/18,92%,7:57
10/31/18,11/1/18,66%,7:05
11/1/18,11/2/18,74%,8:00
11/4/18,11/5/18,76%,7:50
11/5/18,11/6/18,80%,7:26
11/6/18,11/7/18,93%,7:41
11/7/18,11/8/18,82%,7:04
11/8/18,11/9/18,62%,7:35
11/11/18,11/12/18,79%,7:28
