Date,Type,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft)
5/27/17,Running,2.28,21:48,9:35,6.26,391,105
5/28/17,Running,2.27,20:15,8:56,6.71,388,99
5/28/17,Running,2.25,21:35,9:37,6.24,393,138
5/28/17,Running,1.93,30:10:00,15:37,3.84,279,71
5/29/17,Running,3.23,33:04:00,10:15,5.85,559,149
5/30/17,Running,1.55,15:06,9:44,6.17,263,45
6/3/17,Running,2.86,40:13:00,14:05,4.26,418,150
6/9/17,Running,3.12,31:04:00,9:58,6.02,538,147
6/10/17,Running,3.35,33:59:00,10:10,5.9,570,161
6/10/17,Running,2.28,20:44,9:07,6.58,387,99
6/17/17,Running,2.96,30:13:00,10:12,5.88,506,117
6/19/17,Running,3.23,32:55:00,10:11,5.89,559,161
6/21/17,Running,3.28,33:21:00,10:11,5.89,564,148
6/24/17,Running,3.26,32:00:00,9:49,6.11,555,116
6/26/17,Running,2.27,19:52,8:45,6.86,389,99
6/30/17,Running,3.29,30:55:00,9:24,6.38,566,147
7/1/17,Running,2.26,20:29,9:05,6.61,387,100
7/4/17,Running,2.26,20:10,8:56,6.72,388,99
7/8/17,Running,3.37,30:47:00,9:08,6.56,572,112
7/12/17,Running,3.04,29:40:00,9:46,6.14,525,141
7/16/17,Running,3.11,29:52:00,9:36,6.25,517,18
7/17/17,Running,2.16,18:06,8:23,7.15,357,5
7/18/17,Running,2.16,16:41,7:44,7.75,357,3
7/27/17,Running,2.24,20:04,8:58,6.7,385,98
7/29/17,Running,0.34,3:11,9:29,6.32,52,13
7/29/17,Running,2.05,17:10,8:24,7.15,351,89
8/2/17,Running,2.25,20:05,8:56,6.72,386,98
8/7/17,Running,2.45,23:02,9:26,6.36,420,110
8/9/17,Running,2.4,22:23,9:21,6.42,411,107
8/11/17,Running,2.02,18:24,9:07,6.59,349,97
8/12/17,Running,2.08,20:28,9:52,6.08,359,96
8/15/17,Running,2.24,21:17,9:31,6.3,384,100
8/16/17,Running,2.19,19:55,9:05,6.6,375,90
8/23/17,Running,2.27,20:05,8:52,6.77,388,98
8/27/17,Running,2.27,20:14,8:55,6.73,390,101
8/29/17,Running,2.31,20:59,9:06,6.59,395,102
6/30/17,Walking,1.38,33:30:00,24:13:00,2.48,174,0
8/30/17,Running,2.55,23:04,9:04,6.62,435,110
9/1/17,Running,2.59,20:08,7:47,7.71,406,95
9/2/17,Running,2.32,20:11,8:42,6.9,398,103
6/22/17,Walking,0.48,16:45,35:00:00,1.71,66,0
9/9/17,Running,2.16,19:06,8:51,6.78,370,99
9/11/17,Running,2.27,20:04,8:50,6.8,391,100
9/13/17,Running,2.01,17:36,8:45,6.86,336,28
6/16/17,Walking,0.75,23:22,31:16:00,1.92,99,0
6/16/17,Walking,0.61,22:16,36:30:00,1.64,86,0
6/15/17,Walking,0.32,14:28,44:55:00,1.34,51,0
6/15/17,Walking,0.46,20:29,44:39:00,1.34,72,0
6/14/17,Walking,0.63,22:00,34:56:00,1.72,87,0
9/16/17,Running,2.04,17:10,8:25,7.13,339,18
9/18/17,Running,2.26,20:17,9:00,6.67,385,98
9/21/17,Running,2.3,20:58,9:07,6.58,388,102
9/23/17,Running,2.25,20:14,9:01,6.66,385,98
6/1/17,Walking,1.03,28:25:00,27:37:00,2.17,133,0
9/28/17,Running,2.03,22:00,10:50,5.54,333,34
9/30/17,Running,2.28,28:55:00,12:40,4.74,357,105
9/30/17,Running,2.38,20:17,8:31,7.04,407,98
10/1/17,Running,2.28,25:20:00,11:07,5.39,387,102
10/7/17,Running,2.25,21:09,9:24,6.38,386,99
10/9/17,Running,2.19,21:53,10:00,6,376,101
10/13/17,Running,2.26,21:51,9:41,6.2,387,99
10/14/17,Running,2.27,21:14,9:21,6.41,390,102
10/17/17,Running,2.29,21:38,9:28,6.33,393,105
4/26/17,Walking,0.55,21:08,38:18:00,1.57,80,0
10/20/17,Running,3.29,31:43:00,9:39,6.22,560,119
10/23/17,Running,2.29,22:54,10:01,5.99,395,103
10/26/17,Running,3.3,31:05:00,9:25,6.37,552,121
11/3/17,Running,2.29,21:11,9:15,6.49,393,100
11/4/17,Running,2.29,20:50,9:06,6.59,394,100
4/15/17,Walking,0.32,13:19,41:31:00,1.45,48,0
4/15/17,Walking,2.07,1:24:55,41:00:00,1.46,308,0
4/10/17,Walking,1.25,53:26:00,42:43:00,1.4,191,0
4/8/17,Walking,2.3,54:49:00,23:48,2.52,289,0
4/7/17,Walking,1.5,32:44:00,21:47,2.75,180,0
11/24/17,Running,2.29,22:22,9:45,6.15,392,97
11/25/17,Running,2.29,22:55,10:01,5.99,394,105
11/26/17,Running,2.44,23:24,9:35,6.26,425,143
2/18/17,Walking,0.86,18:52,21:50,2.75,104,0
2/18/17,Walking,0.92,23:06,25:07:00,2.39,117,0
11/27/17,Running,2.28,22:08,9:44,6.17,390,100
1/16/17,Walking,0.54,16:35,30:58:00,1.94,71,0
12/10/16,Walking,0.39,16:25,41:53:00,1.43,59,0
11/15/16,Walking,0.29,12:33,43:46:00,1.37,44,0
12/1/17,Running,2.31,23:02,9:58,6.02,397,103
11/10/16,Walking,0.33,14:07,43:03:00,1.39,50,0
12/2/17,Running,2.28,21:14,9:18,6.45,392,100
11/4/16,Walking,0.71,27:14:00,38:14:00,1.57,103,0
11/4/16,Walking,0.71,27:14:00,38:14:00,1.57,103,0
11/3/16,Walking,0.5,14:20,28:56:00,2.07,64,0
11/3/16,Walking,0.5,14:20,28:56:00,2.07,64,0
11/3/16,Walking,0.51,19:30,38:14:00,1.57,73,0
11/3/16,Walking,0.51,19:30,38:14:00,1.57,73,0
12/3/17,Running,2.3,21:17,9:16,6.48,395,103
12/16/17,Running,2.3,22:45,9:53,6.07,394,105
12/22/17,Running,2.29,23:17,10:11,5.89,392,104
10/21/16,Walking,0.38,15:53,41:57:00,1.43,57,0
1/27/18,Running,2.29,22:04,9:40,6.21,392,98
2/27/18,Running,2.17,22:01,10:08,5.92,371,93
10/8/16,Walking,0.48,21:17,44:17:00,1.35,75,0
3/10/18,Running,2.45,24:09:00,9:53,6.07,417,100
10/3/16,Walking,0.44,15:26,34:51:00,1.72,61,0
10/2/16,Walking,1.03,20:21,19:45,3.04,119,0
3/15/18,Running,2.28,23:28,10:19,5.82,388,102
9/28/16,Walking,0.8,19:27,24:11:00,2.48,101,0
9/28/16,Walking,0.51,22:24,44:06:00,1.36,79,0
9/27/16,Walking,4.17,1:33:00,22:19,2.69,506,0
3/18/18,Running,3.34,40:13:00,12:02,4.99,523,127
9/21/16,Walking,1.23,29:21:00,23:48,2.52,154,0
9/21/16,Walking,0.92,22:37,24:33:00,2.44,116,0
9/21/16,Walking,1.01,37:25:00,37:06:00,1.62,143,0
9/21/16,Walking,0.56,14:47,26:24:00,2.27,72,0
9/20/16,Walking,0.53,15:24,28:56:00,2.07,69,0
9/20/16,Walking,0.6,19:56,33:20:00,1.8,81,0
9/20/16,Walking,0.39,12:47,32:28:00,1.85,53,0
9/20/16,Walking,1.58,32:28:00,20:32,2.92,184,0
9/20/16,Walking,1.75,51:41:00,29:28:00,2.04,229,0
9/20/16,Walking,0.97,26:04:00,26:53:00,2.23,124,0
3/20/18,Running,2.28,22:00,9:39,6.22,392,101
3/23/18,Running,2.3,22:14,9:41,6.2,395,100
9/19/16,Walking,0.51,21:27,42:29:00,1.41,77,0
9/19/16,Walking,2.04,55:03:00,27:02:00,2.22,262,0
9/18/16,Walking,1.19,46:36:00,39:14:00,1.53,173,0
9/18/16,Walking,0.8,18:00,22:22,2.68,98,0
9/18/16,Walking,1.44,37:06:00,25:42:00,2.33,184,0
9/18/16,Walking,0.42,12:54,30:47:00,1.95,55,0
3/30/18,Running,2.94,29:06:00,9:55,6.05,504,143
9/17/16,Walking,0.62,18:00,29:07:00,2.06,81,0
9/17/16,Walking,0.58,25:29:00,44:10:00,1.36,90,0
9/17/16,Walking,11.25,3:32:40,18:54,3.17,1291,0
4/12/18,Running,2.98,30:44:00,10:18,5.82,502,116
9/16/16,Walking,0.71,15:18,21:33,2.78,85,0
9/16/16,Walking,0.45,14:29,31:54:00,1.88,61,0
9/15/16,Walking,1.46,51:04:00,35:02:00,1.71,203,0
9/15/16,Walking,1.02,44:28:00,43:40:00,1.37,157,0
9/15/16,Walking,0.61,24:02:00,39:45:00,1.51,89,0
9/15/16,Walking,1.7,1:06:43,39:17:00,1.53,247,0
4/13/18,Running,2.27,22:43,10:02,5.98,390,100
4/17/18,Running,2.73,23:04,8:28,7.09,412,105
4/19/18,Running,3.25,31:25:00,9:40,6.21,550,117
4/21/18,Running,3.32,33:03:00,9:57,6.03,573,155
4/22/18,Running,2.36,22:43,9:37,6.24,407,100
9/3/16,Walking,0.82,16:31,20:04,2.99,95,0
4/24/18,Running,2.88,28:21:00,9:50,6.1,490,110
4/26/18,Running,2.3,22:17,9:42,6.19,395,102
4/28/18,Running,2.41,24:09:00,10:03,5.97,413,114
8/18/16,Walking,0.63,15:21,24:25:00,2.46,79,0
5/1/18,Running,2.49,25:15:00,10:09,5.91,423,104
5/5/18,Running,2.05,17:52,8:44,6.87,340,18
8/9/16,Walking,0.57,21:59,38:52:00,1.54,82,0
5/5/18,Running,2.06,25:04:00,12:09,4.94,352,77
8/8/16,Walking,0.79,13:49,17:32,3.42,90,0
5/6/18,Running,1.68,24:23:00,14:33,4.12,235,80
5/7/18,Running,2.32,22:25,9:41,6.2,398,105
5/11/18,Running,2.29,22:29,9:49,6.11,395,102
8/2/16,Walking,0.56,15:51,28:30:00,2.11,72,0
7/30/16,Walking,1.26,46:58:00,37:13:00,1.61,180,0
7/28/16,Walking,0.73,15:20,20:59,2.86,86,0
7/28/16,Walking,0.71,20:16,28:38:00,2.1,92,0
5/14/18,Running,2.29,23:01,10:04,5.96,394,98
5/21/18,Running,2.29,22:31,9:50,6.11,393,100
7/21/16,Walking,0.48,13:02,26:55:00,2.23,62,0
7/20/16,Walking,0.85,13:45,16:13,3.7,103,0
7/18/16,Walking,2.92,1:00:50,20:48,2.88,343,0
7/18/16,Walking,0.32,13:11,41:24:00,1.45,48,0
7/16/16,Walking,2.65,46:21:00,17:30,3.43,302,0
7/12/16,Walking,1.18,20:44,17:37,3.41,134,0
5/25/18,Running,2.19,20:05,9:10,6.54,365,36
7/12/16,Walking,0.29,13:04,44:40:00,1.34,46,0
5/26/18,Running,3.02,31:07:00,10:19,5.81,523,158
5/28/18,Running,3.04,30:10:00,9:56,6.04,518,115
7/8/16,Walking,0.41,16:08,39:51:00,1.51,59,0
7/8/16,Walking,0.44,14:17,32:24:00,1.85,59,0
6/1/18,Running,1.19,20:09,16:55,3.55,167,17
7/6/16,Walking,1.66,1:08:45,41:29:00,1.45,248,0
6/16/18,Running,2.43,25:12:00,10:22,5.79,398,47
7/3/16,Walking,0.42,14:54,35:30:00,1.69,59,0
7/2/16,Walking,0.55,16:00,29:20:00,2.05,71,0
6/22/18,Running,2.29,22:14,9:42,6.18,392,100
7/1/16,Walking,4.57,1:21:44,17:53,3.36,522,0
